xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.73179	 -0.68872	 0.95309	 0.58617	 0.42561	 -0.17913	 0.82200	 -0.45398	 409.07167	 -0.36321 	 62.16552
	 0.56786	 -0.00292	 0.82824	 0.02944	 0.57050	 -0.00116	 0.94276	 -0.27880	 341.24077	 0.00000 	 0.00000
	 0.67436	 -0.86266	 0.82643	 0.01335	 0.52399	 0.79095	 0.96230	 -0.28410	 369.42612	 -0.39605 	 24.18258
	 0.62729	 -0.00292	 0.80813	 0.03175	 0.65222	 -0.34177	 0.94512	 -0.64326	 327.19232	 0.00000 	 0.00000
	 0.73530	 -0.86489	 0.99045	 0.16897	 0.52916	 0.01446	 0.96729	 -0.86181	 403.76791	 -0.05781 	 65.56891
	 0.73122	 -0.80108	 0.80685	 0.01036	 0.66032	 0.74816	 0.80001	 -0.64430	 364.17063	 0.00000 	 0.00000
	 0.54259	 -0.27222	 0.86863	 0.52989	 0.42524	 0.27410	 0.89397	 -0.49305	 400.64096	 0.00000 	 0.00000
	 0.60149	 -0.79879	 0.88506	 0.11884	 0.71649	 0.00291	 0.94209	 -0.37335	 344.01053	 0.00000 	 0.00000
	 0.67064	 -0.68356	 0.81992	 0.58755	 0.42862	 -0.17555	 0.82299	 -0.44818	 412.03824	 -0.35867 	 38.84046
	 0.72944	 -0.12105	 0.88966	 0.55634	 0.69458	 0.80603	 0.78738	 -0.44778	 410.86408	 -0.12796 	 15.93398
	 0.73179	 -0.81213	 0.95309	 0.64223	 0.42561	 -0.17913	 0.82200	 -0.45398	 409.07167	 -0.36128 	 61.58089
	 0.67164	 -0.64969	 0.78130	 0.78522	 0.61752	 -0.86406	 0.91315	 -0.33705	 311.31414	 0.00000 	 12.34018
	 0.62729	 -0.00292	 0.81340	 0.03175	 0.65222	 -0.34177	 0.94512	 -0.27880	 327.18996	 0.00000 	 0.00000
	 0.56855	 -0.69523	 0.86817	 0.59462	 0.65236	 -0.33846	 0.79310	 -0.48865	 391.53571	 -0.34483 	 52.28033
	 0.62781	 -0.79879	 0.88912	 0.04034	 0.73812	 -0.00672	 0.94053	 -0.30447	 342.60535	 0.00000 	 0.00000
	 0.60268	 -0.00292	 0.80905	 0.03175	 0.65222	 -0.34177	 0.94512	 -0.27880	 327.18996	 0.00000 	 0.00000
