Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	20:16:01	967	117,066	29,3089923858643
15/07/2016	20:16:02	327	117,426	29,3138980865479
15/07/2016	20:16:02	556	117,655	29,3727645874023
15/07/2016	20:16:02	687	117,786	29,3531455993652
15/07/2016	20:16:02	830	117,929	29,3335247039795
15/07/2016	20:16:03	196	118,295	29,3678607940674
15/07/2016	20:16:03	407	118,506	29,3433361053467
15/07/2016	20:16:03	584	118,683	29,3433361053467
15/07/2016	20:16:03	730	118,829	29,3188056945801
15/07/2016	20:16:03	874	118,973	29,3237113952637
15/07/2016	20:16:04	335	119,434	29,3384304046631
15/07/2016	20:16:04	643	119,742	29,3482418060303
15/07/2016	20:16:05	034	120,133	29,2991771697998
15/07/2016	20:16:05	175	120,274	29,2795467376709
15/07/2016	20:16:05	478	120,577	29,304084777832
15/07/2016	20:16:05	600	120,699	29,2451839447021
15/07/2016	20:16:05	772	120,871	29,3335247039795
15/07/2016	20:16:06	193	121,292	29,2893619537354
15/07/2016	20:16:06	461	121,56	29,2991771697998
15/07/2016	20:16:06	688	121,787	29,3188056945801
15/07/2016	20:16:07	157	122,256	29,3825721740723
15/07/2016	20:16:07	427	122,526	29,3580513000488
15/07/2016	20:16:07	629	122,728	29,3629550933838
15/07/2016	20:16:07	940	123,039	29,4512062072754
15/07/2016	20:16:08	215	123,314	29,3776683807373
15/07/2016	20:16:08	842	123,941	29,3433361053467
15/07/2016	20:16:08	978	124,077	29,2893619537354
15/07/2016	20:16:09	156	124,255	29,2795467376709
15/07/2016	20:16:09	539	124,638	29,2599124908447
15/07/2016	20:16:09	694	124,793	29,3531455993652
15/07/2016	20:16:10	174	125,273	29,4463043212891
15/07/2016	20:16:10	284	125,383	29,3678607940674
15/07/2016	20:16:10	621	125,72	29,3384304046631
15/07/2016	20:16:10	720	125,819	29,304084777832
15/07/2016	20:16:11	276	126,375	29,304084777832
15/07/2016	20:16:11	420	126,519	29,2795467376709
15/07/2016	20:16:11	586	126,685	29,3237113952637
15/07/2016	20:16:12	010	127,109	29,3138980865479
15/07/2016	20:16:12	138	127,237	29,2795467376709
15/07/2016	20:16:12	483	127,582	29,2550029754639
15/07/2016	20:16:12	775	127,874	29,3089923858643
15/07/2016	20:16:12	843	127,942	29,3089923858643
15/07/2016	20:16:13	151	128,25	29,27463722229
15/07/2016	20:16:13	323	128,422	29,3972835540771
15/07/2016	20:16:13	527	128,626	29,2991771697998
15/07/2016	20:16:13	792	128,891	29,3972835540771
15/07/2016	20:16:13	990	129,089	29,4070892333984
15/07/2016	20:16:14	418	129,517	29,3629550933838
15/07/2016	20:16:14	711	129,81	29,3580513000488
15/07/2016	20:16:14	844	129,943	29,3923797607422
15/07/2016	20:16:15	186	130,285	29,3923797607422
15/07/2016	20:16:15	465	130,564	29,4806060791016
15/07/2016	20:16:15	625	130,724	29,4266986846924
15/07/2016	20:16:15	867	130,966	29,2893619537354
15/07/2016	20:16:15	998	131,097	29,4021873474121
15/07/2016	20:16:16	371	131,47	29,3776683807373
15/07/2016	20:16:16	678	131,777	29,3629550933838
15/07/2016	20:16:17	036	132,135	29,4512062072754
15/07/2016	20:16:17	345	132,444	29,4316005706787
15/07/2016	20:16:17	477	132,576	29,3727645874023
15/07/2016	20:16:17	842	132,941	29,3923797607422
15/07/2016	20:16:17	894	132,993	29,4463043212891
15/07/2016	20:16:18	319	133,418	29,3972835540771
15/07/2016	20:16:18	464	133,563	29,3531455993652
15/07/2016	20:16:18	907	134,006	29,3776683807373
15/07/2016	20:16:19	327	134,426	29,2893619537354
15/07/2016	20:16:19	481	134,58	29,3580513000488
