Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:29:18	579	105,137	26,823522567749
18/07/2016	17:29:18	769	105,327	26,8586311340332
18/07/2016	17:29:19	064	105,622	26,8887138366699
18/07/2016	17:29:19	337	105,895	26,8736743927002
18/07/2016	17:29:19	557	106,115	26,8285388946533
18/07/2016	17:29:19	696	106,254	26,8686599731445
18/07/2016	17:29:20	100	106,658	26,8385696411133
18/07/2016	17:29:20	247	106,805	26,8837013244629
18/07/2016	17:29:20	581	107,139	26,8987407684326
18/07/2016	17:29:20	685	107,243	26,8686599731445
18/07/2016	17:29:20	792	107,35	26,8335552215576
18/07/2016	17:29:20	792	107,35	26,8335552215576
18/07/2016	17:29:20	792	107,35	26,8335552215576
18/07/2016	17:29:23	636	110,194	26,6880016326904
18/07/2016	17:29:23	980	110,538	26,703067779541
18/07/2016	17:29:24	368	110,926	26,7733478546143
18/07/2016	17:29:24	738	111,296	26,6126403808594
18/07/2016	17:29:24	937	111,495	26,5724277496338
18/07/2016	17:29:25	088	111,646	26,5623722076416
18/07/2016	17:29:25	504	112,062	26,0988292694092
18/07/2016	17:29:25	709	112,267	26,5724277496338
18/07/2016	17:29:25	829	112,387	26,597562789917
18/07/2016	17:29:26	167	112,725	26,597562789917
18/07/2016	17:29:26	624	113,182	26,5120811462402
18/07/2016	17:29:26	686	113,244	26,5221405029297
18/07/2016	17:29:26	915	113,473	26,5221405029297
18/07/2016	17:29:27	056	113,614	26,6528396606445
18/07/2016	17:29:27	335	113,893	26,6126403808594
18/07/2016	17:29:27	759	114,317	26,6226921081543
18/07/2016	17:29:27	909	114,467	26,6277160644531
18/07/2016	17:29:28	094	114,652	26,6277160644531
18/07/2016	17:29:28	435	114,993	26,6176662445068
18/07/2016	17:29:28	598	115,156	26,6176662445068
18/07/2016	17:29:28	943	115,501	26,5724277496338
18/07/2016	17:29:29	126	115,684	26,6427917480469
18/07/2016	17:29:29	274	115,832	26,5724277496338
18/07/2016	17:29:29	430	115,988	26,6327419281006
18/07/2016	17:29:29	820	116,378	26,5824813842773
18/07/2016	17:29:30	220	116,778	26,6226921081543
18/07/2016	17:29:31	256	117,814	26,6528396606445
18/07/2016	17:29:31	503	118,061	26,6377658843994
18/07/2016	17:29:31	956	118,514	26,6226921081543
18/07/2016	17:29:32	493	119,051	26,6478157043457
18/07/2016	17:29:32	559	119,117	26,6176662445068
