xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	k	f	
	 0.53481	 -0.77616	 0.88527	 0.04637	 0.37855	 -0.16506	 0.86540	 -0.81511	 -0.15059 	 557.63408 	 0.94008
	 0.53817	 -0.62180	 0.86517	 0.00560	 0.62407	 -0.68786	 0.90790	 -0.56803	 -0.14153 	 406.20671 	 0.88583
	 0.60535	 -0.70675	 0.91192	 0.32771	 0.55984	 -0.60596	 0.88467	 -0.39179	 -0.18886 	 520.28051 	 0.90607
	 0.68237	 -0.74072	 0.86379	 0.59514	 0.63530	 -0.41052	 0.89971	 -0.86794	 -0.23066 	 508.18554 	 0.88008
	 0.55616	 -0.58801	 0.86228	 0.00560	 0.59926	 -0.78954	 0.90454	 -0.51512	 -0.12149 	 382.52827 	 0.88683
	 0.54238	 -0.62180	 0.86228	 0.02037	 0.63664	 -0.68841	 0.90774	 -0.52350	 -0.13166 	 403.01563 	 0.88961
	 0.53824	 -0.62180	 0.88728	 0.00100	 0.62407	 -0.74731	 0.91222	 -0.56803	 -0.11971 	 410.12635 	 0.89847
	 0.54244	 -0.56753	 0.86511	 0.00560	 0.59320	 -0.74904	 0.91222	 -0.46707	 -0.12166 	 388.07932 	 0.88890
	 0.54244	 -0.62180	 0.86228	 0.00560	 0.61331	 -0.78962	 0.91221	 -0.52350	 -0.12004 	 383.88074 	 0.88809
	 0.60013	 -0.68746	 0.90142	 0.34644	 0.58040	 -0.69164	 0.86337	 -0.87571	 -0.12767 	 407.76941 	 0.89349
	 0.54244	 -0.58801	 0.86228	 0.00560	 0.62902	 -0.78897	 0.90454	 -0.51512	 -0.11618 	 374.82696 	 0.88654
	 0.51046	 -0.62280	 0.94718	 0.33583	 0.60146	 -0.68854	 0.88643	 -0.88851	 -0.11024 	 411.71718 	 0.90390
	 0.54244	 -0.61997	 0.87134	 0.00560	 0.59320	 -0.74786	 0.91222	 -0.52350	 -0.13427 	 403.97861 	 0.88866
	 0.54187	 -0.42914	 0.94660	 0.33499	 0.62892	 -0.12968	 0.90143	 -0.81816	 0.00000 	 9999.00000 	 4.68699
	 0.55391	 -0.79653	 0.92649	 0.31043	 0.43172	 -0.67589	 0.80880	 -0.88819	 -0.13741 	 431.73358 	 0.89785
