xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.63130	 -0.61592	 0.91727	 0.43777	 0.61558	 -0.13880	 0.87655	 -0.88193	 -0.26221
	 0.72676	 -0.70878	 0.87937	 0.70337	 0.73322	 0.80629	 0.87467	 -0.37670	 -0.34106
	 0.69354	 -0.75098	 0.90525	 0.69598	 0.73948	 -0.14608	 0.87467	 -0.38759	 0.00000
	 0.63804	 -0.62799	 0.87811	 0.30468	 0.60188	 0.70296	 0.87098	 -0.86649	 0.00000
	 0.63130	 -0.63734	 0.90399	 0.36003	 0.60188	 -0.18687	 0.85450	 -0.84185	 -0.26957
	 0.71709	 -0.75175	 0.87937	 0.71370	 0.74225	 0.74456	 0.87676	 -0.37670	 -0.34543
	 0.60906	 -0.62799	 0.90399	 0.36003	 0.60188	 -0.18687	 0.86695	 -0.87598	 -0.24465
	 0.62534	 -0.61162	 0.90399	 0.36003	 0.60188	 -0.18687	 0.87098	 -0.87598	 -0.27806
	 0.69354	 -0.75098	 0.87937	 0.69657	 0.73948	 0.74456	 0.87467	 -0.43178	 -0.39290
	 0.63130	 -0.62799	 0.90511	 0.41151	 0.60188	 -0.18687	 0.87098	 -0.87598	 -0.26932
	 0.69353	 -0.75177	 0.87937	 0.71369	 0.74169	 0.74456	 0.87641	 -0.42326	 -0.39295
	 0.68035	 -0.75096	 0.87937	 0.71928	 0.74004	 0.74456	 0.85964	 -0.37670	 -0.37005
	 0.67855	 -0.75026	 0.87937	 0.71927	 0.74034	 0.74456	 0.84807	 -0.37670	 -0.35314
	 0.69353	 -0.78808	 0.85257	 0.71370	 0.73984	 0.74456	 0.86754	 -0.37670	 -0.38592
	 0.65479	 -0.75098	 0.89186	 0.69657	 0.73948	 0.74456	 0.87467	 -0.43178	 -0.01290
	 0.67855	 -0.75098	 0.87937	 0.52511	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.06901
	 0.67855	 -0.75098	 0.89019	 0.71953	 0.71445	 0.74456	 0.87467	 -0.35995	 -0.01077
