l_s	l_l	R	theta	
	 0.10011	 0.39769	 0.00353	 0.14086
	 0.11309	 0.36541	 0.00333	 0.13315
	 0.10929	 0.41900	 0.00334	 0.13363
	 0.10137	 0.37689	 0.00354	 0.14091
	 0.10245	 0.37683	 0.00354	 0.14093
	 0.10245	 0.34860	 0.00354	 0.14088
	 0.15543	 0.38323	 0.00352	 0.14125
	 0.10028	 0.39487	 0.00354	 0.14092
	 0.11309	 0.36541	 0.00333	 0.13315
	 0.10862	 0.38443	 0.00322	 0.12887
	 0.10245	 0.39118	 0.00354	 0.14096
	 0.10140	 0.43599	 0.00353	 0.14075
	 0.10245	 0.43492	 0.00354	 0.14102
	 0.10194	 0.42884	 0.00353	 0.14074
	 0.10117	 0.39057	 0.00354	 0.14093
	 0.10992	 0.36963	 0.00322	 0.12887
	 0.10228	 0.43175	 0.00503	 0.19819
	 0.10006	 0.42998	 0.00352	 0.14053
	 0.10011	 0.39525	 0.00352	 0.14046
	 0.11436	 0.35391	 0.00353	 0.14087
	 0.10012	 0.39499	 0.00334	 0.13324
	 0.10862	 0.42858	 0.00309	 0.12378
	 0.10649	 0.37910	 0.00344	 0.13737
	 0.10862	 0.39152	 0.00353	 0.14096
	 0.10862	 0.43531	 0.00300	 0.12020
	 0.10199	 0.39473	 0.00354	 0.14095
	 0.10862	 0.39152	 0.00353	 0.14096
	 0.10009	 0.39535	 0.00354	 0.14091
	 0.10439	 0.41028	 0.00352	 0.14057
	 0.10245	 0.37689	 0.00354	 0.14093
	 0.10245	 0.37689	 0.00354	 0.14093
	 0.10245	 0.37149	 0.00354	 0.14092
	 0.11237	 0.35831	 0.00333	 0.13311
	 0.10245	 0.39278	 0.00354	 0.14096
	 0.10245	 0.36989	 0.00354	 0.14092
	 0.11309	 0.36541	 0.00329	 0.13170
	 0.10992	 0.36963	 0.00150	 14.91498
	 0.11237	 0.37900	 0.00346	 0.13817
	 0.10012	 0.39499	 0.00334	 0.13324
	 0.10862	 0.43531	 0.00300	 0.12020
	 0.10862	 0.35486	 0.00322	 0.12883
	 0.11237	 0.39606	 0.00321	 0.12855
	 0.10010	 0.37819	 0.00352	 0.14044
	 0.11343	 0.42420	 0.00315	 0.12619
	 0.10194	 0.42884	 0.00353	 0.14074
	 0.10133	 0.38443	 0.00322	 0.12876
	 0.10842	 0.42884	 0.00431	 0.17161
	 0.15980	 0.37769	 0.00334	 0.13910
	 0.10577	 0.35831	 0.00333	 0.13300
	 0.10439	 0.41028	 0.00352	 0.14057
	 0.11343	 0.41900	 0.00334	 0.13370
	 0.10862	 0.36914	 0.00322	 0.12885
	 0.11671	 0.29607	 0.00353	 0.14078
	 0.11418	 0.42420	 0.00212	 7.62521
	 0.10396	 0.43531	 0.00300	 0.12014
	 0.10011	 0.39525	 0.00333	 0.13300
	 0.11309	 0.36541	 0.00595	 0.23318
	 0.10020	 0.37566	 0.00352	 0.14043
	 0.13006	 0.41900	 0.00334	 0.13392
	 0.10861	 0.44061	 0.00306	 3.82818
	 0.10991	 0.41194	 0.00299	 0.12005
	 0.10862	 0.42858	 0.00309	 0.12378
	 0.10992	 0.36963	 0.00322	 0.12887
	 0.11309	 0.36541	 0.00333	 0.13315
	 0.10862	 0.42858	 0.00309	 0.12378
	 0.10862	 0.36914	 0.00322	 0.12885
	 0.10719	 0.43531	 0.00300	 0.12018
	 0.10006	 0.41171	 0.00352	 0.14050
	 0.10245	 0.33551	 0.00354	 0.14086
	 0.10877	 0.36840	 0.00323	 0.12913
	 0.11221	 0.35905	 0.00332	 0.13283
	 0.10084	 0.41900	 0.00334	 0.13349
	 0.13216	 0.37900	 0.00321	 0.12876
	 0.10245	 0.36527	 0.00357	 0.14216
	 0.11309	 0.33565	 0.00330	 0.13184
	 0.13216	 0.37900	 0.00322	 0.12934
	 0.10862	 0.42858	 0.00306	 0.12265
	 0.10719	 0.43715	 0.00299	 0.11986
	 0.15767	 0.36730	 0.00323	 0.13420
	 0.11343	 0.42420	 0.00315	 0.12619
	 0.15182	 0.38443	 0.00322	 0.13400
	 0.10917	 0.39525	 0.00322	 0.12872
	 0.10008	 0.36914	 0.00333	 0.13314
	 0.10862	 0.43531	 0.00300	 0.12020
	 0.13810	 0.36963	 0.00322	 0.13436
	 0.10862	 0.35486	 0.00322	 0.12883
	 0.10396	 0.43531	 0.00511	 0.20121
	 0.10862	 0.42796	 0.00308	 0.12365
	 0.10862	 0.36976	 0.00322	 0.12898
	 0.10577	 0.34669	 0.00333	 0.13298
	 0.13311	 0.42133	 0.00299	 0.12456
	 0.10991	 0.41194	 0.00299	 0.12005
	 0.10862	 0.38443	 0.00217	 6.62696
	 0.11237	 0.37900	 0.00299	 0.11988
	 0.10862	 0.43531	 0.00322	 0.12885
	 0.11221	 0.40538	 0.00332	 0.13289
	 0.11237	 0.33924	 0.00321	 0.12847
	 0.10826	 0.30947	 0.00261	 0.10835
	 0.13163	 0.37900	 0.00329	 0.13200
	 0.10719	 0.43531	 0.00279	 0.11656
	 0.10862	 0.43531	 0.00300	 0.12020
	 0.11343	 0.42420	 0.00315	 0.12619
	 0.13216	 0.37900	 0.00321	 0.12876
	 0.10862	 0.37314	 0.00322	 0.12886
	 0.10385	 0.43528	 0.00300	 0.12014
	 0.10862	 0.36778	 0.00300	 0.12014
	 0.10862	 0.43667	 0.00341	 0.13610
	 0.10862	 0.35486	 0.00322	 0.12883
	 0.10862	 0.42858	 0.00309	 0.12378
	 0.10862	 0.42858	 0.00309	 0.12378
	 0.10862	 0.42951	 0.00309	 0.12378
