Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
38.384,7.53985,6.46753,55.70293,0.00852,56.72814
38.484,7.53984,6.57486,55.70293,0.00852,57.66957
38.584,7.53983,6.42213,55.70293,0.00852,56.32998
38.684,7.53982,6.57113,55.70293,0.00852,57.63684
38.784,7.53981,6.43547,55.70293,0.00852,56.44697
38.884,7.5398,6.49515,55.70293,0.00852,56.97038
38.984,7.5398,6.49433,55.71046,0.00852,56.96319
39.084,7.53978,6.40733,55.71046,0.00852,56.20012
39.184,7.53977,6.56256,55.71046,0.00851,57.5617
39.284,7.53976,6.40528,55.71046,0.00851,56.18216
39.384,7.53975,6.53028,55.71046,0.00851,57.27856
39.484,7.53974,6.48815,55.71046,0.00851,56.90898
39.584,7.53974,6.4436,55.71415,0.00851,56.51824
39.684,7.53972,6.55989,55.71415,0.00851,57.53823
39.784,7.53971,6.3968,55.71415,0.00851,56.10773
39.884,7.5397,6.5348,55.71415,0.00851,57.31816
39.984,7.53969,6.44094,55.71415,0.00851,56.49489
40.084,7.53968,6.43847,55.71415,0.00851,56.47322
40.184,7.53967,6.52988,55.71365,0.00851,57.27501
40.284,7.53965,6.38901,55.71365,0.00851,56.03947
40.384,7.53964,6.537,55.71365,0.00851,57.33747
40.484,7.53963,6.44176,55.71365,0.00851,56.50214
40.584,7.53961,6.44296,55.71365,0.00851,56.51262
40.684,7.5396,6.52896,55.71535,0.00851,57.26696
40.784,7.53959,6.37589,55.71535,0.00851,55.92432
40.884,7.53958,6.53471,55.71535,0.00851,57.31744
40.984,7.53956,6.43224,55.71535,0.00851,56.41859
41.084,7.53955,6.42017,55.71535,0.00851,56.31273
41.184,7.53954,6.53322,55.71535,0.00851,57.30434
41.284,7.53952,6.37312,55.71871,0.00851,55.90002
41.384,7.53951,6.49943,55.71871,0.00851,57.00799
41.484,7.53949,6.47688,55.71871,0.00851,56.8102
41.584,7.53948,6.38197,55.71871,0.00851,55.97768
41.684,7.53946,6.53617,55.71871,0.00851,57.33025
41.784,7.53944,6.40948,55.71871,0.00851,56.21895
41.884,7.53942,6.43268,55.72048,0.00851,56.4225
41.984,7.5394,6.52045,55.72048,0.00851,57.19235
42.084,7.53938,6.37595,55.72048,0.00851,55.92491
42.184,7.53937,6.47923,55.72048,0.00851,56.83075
42.284,7.53934,6.48912,55.72048,0.00851,56.91756
42.384,7.53932,6.36372,55.72048,0.00851,55.81757
42.484,7.5393,6.49819,55.72187,0.00851,56.99709
42.584,7.53928,6.42879,55.72187,0.00851,56.38834
42.684,7.53926,6.38534,55.72187,0.00851,56.00721
42.784,7.53924,6.51692,55.72187,0.00851,57.16135
42.884,7.53921,6.36428,55.72187,0.00851,55.82252
42.984,7.53919,6.43287,55.72187,0.00851,56.4241
43.084,7.53916,6.467,55.73149,0.00851,56.72353
43.184,7.53913,6.33112,55.73149,0.00851,55.53171
43.284,7.53911,6.47882,55.73149,0.00851,56.82715
43.384,7.53908,6.40726,55.73149,0.00851,56.19953
43.484,7.53905,6.36181,55.73149,0.00851,55.80089
43.584,7.53902,6.50031,55.73709,0.00851,57.01567
43.684,7.53899,6.34829,55.73709,0.00851,55.68225
43.784,7.53896,6.41176,55.73709,0.00851,56.23897
43.884,7.53893,6.46257,55.73709,0.00851,56.68468
43.984,7.5389,6.32597,55.73709,0.00851,55.48649
44.084,7.53887,6.47225,55.73709,0.00851,56.76956
44.184,7.53883,6.38578,55.7417,0.00851,56.01107
44.284,7.5388,6.34384,55.7417,0.00851,55.64326
44.384,7.53876,6.48659,55.7417,0.00851,56.89532
44.484,7.53872,6.35069,55.7417,0.00851,55.7033
44.584,7.53868,6.41258,55.7417,0.0085,56.24618
44.684,7.53864,6.47482,55.7417,0.0085,56.79213
44.784,7.5386,6.32291,55.74761,0.0085,55.45963
44.884,7.53856,6.46815,55.74761,0.0085,56.7336
44.984,7.53851,6.41346,55.74761,0.0085,56.25392
45.084,7.53847,6.34043,55.74761,0.0085,55.61337
45.184,7.53841,6.48329,55.74761,0.0085,56.86636
45.284,7.53836,6.35685,55.74919,0.0085,55.75735
45.384,7.53831,6.37771,55.74919,0.0085,55.94035
45.484,7.53825,6.47279,55.74919,0.0085,56.77426
45.584,7.53819,6.32956,55.74919,0.0085,55.51798
45.684,7.53813,6.40804,55.74919,0.0085,56.20636
45.784,7.53805,6.46133,55.74919,0.0085,56.67381
45.884,7.53797,6.32347,55.75243,0.0085,55.46454
45.984,7.53788,6.45591,55.75243,0.0085,56.62626
46.084,7.53777,6.42793,55.75243,0.0085,56.38081
46.184,7.53765,6.32198,55.75243,0.0085,55.45147
46.284,7.53753,6.47502,55.75243,0.00849,56.7938
